date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:10	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d212c61.f556dce8.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d212c61.f556dce8.html	(from http://120.26.82.151:8082/)
13:57:11	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d213143.8ce66a5f.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d213143.8ce66a5f.html	(from http://120.26.82.151:8082/)
13:57:11	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d215c95.0f6fdcfb.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d215c95.0f6fdcfb.html	(from http://120.26.82.151:8082/)
13:57:11	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d216d56.f2928dcc.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d216d56.f2928dcc.html	(from http://120.26.82.151:8082/)
13:57:11	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d216efc.04c8e66d.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d216efc.04c8e66d.html	(from http://120.26.82.151:8082/)
13:57:11	468150/468150	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261860c63-724b6%22	https://smaco2.uestc.edu.cn/js/chunk-2d21af1a.88951d81.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d21af1a.88951d81.js	(from http://120.26.82.151:8082/)
13:57:12	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d21d693.cdf8701b.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d21d693.cdf8701b.html	(from http://120.26.82.151:8082/)
13:57:12	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d2214c0.4e5d6807.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d2214c0.4e5d6807.html	(from http://120.26.82.151:8082/)
13:57:12	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d221c41.fde34f04.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d221c41.fde34f04.html	(from http://120.26.82.151:8082/)
13:57:12	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d224a91.0f71c1ab.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d224a91.0f71c1ab.html	(from http://120.26.82.151:8082/)
13:57:12	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d228d1d.28f0e611.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d228d1d.28f0e611.html	(from http://120.26.82.151:8082/)
13:57:13	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d229788.2a54afcc.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d229788.2a54afcc.html	(from http://120.26.82.151:8082/)
